id;class test 1;lab test 1;class test 2;lab test 2;class participation;lab exam;written
1536423;31,5;100;35,0;100,0;73,5;100,0;44,0
1672326;15,5;18;13,5;52,5;58,0;47,5;22,5
1606767;33,0;30;28,5;58,8;72,2;80,0;39,5
1568096;29,0;36;19,0;75,0;78,4;85,0;29,5
1513465;42,0;54;34,0;105,0;74,1;100,0;43,0
1604055;29,5;80;20,0;75,0;86,7;80,0;26,0
1501299;25,0;26;29,0;96,3;75,5;90,0;34,0
1668350;24,5;10;12,0;5,0;50,8;30,0;29,5
1690082;36,0;96;35,5;100,0;79,7;95,0;45,0
1577212;0,0;0;0,0;0,0;0,0;0,0;
1632838;31,5;68;22,0;90,0;76,3;80,0;36,5
1522930;42,0;96;42,0;102,5;93,5;100,0;54,0
1596911;24,5;10;12,5;47,5;91,7;40,0;16,0
1528137;0,0;0;0,0;0,0;0,0;0,0;
1535077;37,5;100;37,0;102,5;95,6;100,0;34,5
1577737;34,5;48;18,5;90,0;81,3;85,0;26,0
1680698;26,5;34;10,0;25,0;38,6;20,0;
1637441;35,5;72;23,0;52,5;72,2;95,0;37,5
1692508;27,0;60;34,0;92,5;75,2;60,0;44,5
1667890;21,5;30;26,0;90,0;77,9;77,5;33,0
1547459;17,5;16;19,5;70,0;97,5;70,0;39,5
1629316;23,0;22;8,0;0,0;39,2;0,0;
1617370;43,5;80;26,5;90,0;93,0;100,0;31,0
1521804;42,0;78;39,0;105,0;97,1;100,0;44,0
1600057;35,5;72;24,0;75,0;69,6;85,0;32,5
1692278;43,0;100;36,0;105,0;99,2;100,0;51,0
1559726;18,0;10;18,0;78,8;62,0;80,0;25,0
1626007;28,5;34;19,0;25,0;64,6;85,0;26,0
1654054;31,0;88;30,0;101,7;78,5;100,0;38,5
1625672;34,0;88;32,0;105,0;97,5;95,0;30,5
1629089;49,5;100;38,5;105,0;99,9;100,0;53,5
1542493;32,0;80;28,0;95,0;75,3;95,0;33,5
1513397;36,0;60;23,0;86,3;59,2;65,0;38,0
1654594;0,0;0;0,0;0,0;0,0;0,0;
1600669;43,0;100;36,0;105,0;99,2;100,0;51,0
1516550;18,0;10;18,0;78,8;62,0;80,0;25,0
1678076;28,5;34;19,0;25,0;64,6;85,0;26,0
1624744;31,0;88;30,0;101,7;78,5;100,0;38,5
1569937;34,0;88;32,0;105,0;97,5;95,0;30,5
1614053;35,5;72;23,0;52,5;72,2;95,0;37,5
1538554;27,0;60;34,0;92,5;75,2;60,0;44,5
1520635;21,5;30;26,0;90,0;77,9;77,5;33,0
1559675;17,5;16;19,5;70,0;97,5;70,0;39,5
1511476;23,0;22;8,0;0,0;39,2;0,0;
1515011;28,5;34;19,0;25,0;64,6;85,0;26,0
